[2024-04-01 20:07:20] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:07:20] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 20:07:22] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 20:07:22] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:07:22] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:4ms
[2024-04-01 20:07:37] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 20:07:37] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:07:37] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:07:37] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:0ms
[2024-04-01 20:08:56] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&$$id=70d6b0c9e177 , status:401 , tc:0ms
[2024-04-01 20:09:26] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&$$id=70d6b0c9e177 , status:401 , tc:0ms
[2024-04-01 20:10:51] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:10:51] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 20:10:52] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 20:10:52] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:10:52] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:10:52] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:2ms
[2024-04-01 20:10:56] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:10:56] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:3ms
[2024-04-01 20:11:09] [info] Gin log method:OPTIONS , path:/api/record/cancelorder , status:204 , tc:0ms
[2024-04-01 20:11:09] [info] Gin log method:POST , path:/api/record/cancelorder , status:200 , tc:16ms
[2024-04-01 20:11:10] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:11:10] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:2ms
[2024-04-01 20:11:12] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:11:12] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 20:11:13] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 20:11:13] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:13] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:13] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 20:11:17] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:17] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:17] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 20:11:24] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3 , status:204 , tc:0ms
[2024-04-01 20:11:24] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:24] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:24] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3 , status:200 , tc:1ms
[2024-04-01 20:11:46] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3 , status:204 , tc:0ms
[2024-04-01 20:11:46] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:46] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:11:46] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3 , status:200 , tc:1ms
[2024-04-01 20:11:48] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:11:48] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:2ms
[2024-04-01 20:11:56] [info] Gin log method:OPTIONS , path:/api/record/cancelorder , status:204 , tc:0ms
[2024-04-01 20:11:56] [info] Gin log method:POST , path:/api/record/cancelorder , status:200 , tc:13ms
[2024-04-01 20:11:56] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:11:56] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:3ms
[2024-04-01 20:11:57] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:11:57] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 20:11:58] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 20:11:58] [error] getStadiumBooked err = [<nil>]

